[Tue Sep 03 11:36:59.669947 2019] [mpm_event:notice] [pid 12000:tid 140264304880576] AH00489: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Tue Sep 03 11:36:59.670068 2019] [core:notice] [pid 12000:tid 140264304880576] AH00094: Command line: '/usr/sbin/apache2'
[Tue Sep 03 11:55:08.335656 2019] [mpm_event:notice] [pid 12000:tid 140264304880576] AH00491: caught SIGTERM, shutting down
[Tue Sep 03 11:55:08.395149 2019] [mpm_prefork:notice] [pid 23166] AH00163: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Tue Sep 03 11:55:08.395254 2019] [core:notice] [pid 23166] AH00094: Command line: '/usr/sbin/apache2'
[Tue Sep 03 11:55:08.837132 2019] [mpm_prefork:notice] [pid 23166] AH00169: caught SIGTERM, shutting down
[Tue Sep 03 11:55:09.021807 2019] [mpm_prefork:notice] [pid 23256] AH00163: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Tue Sep 03 11:55:09.021900 2019] [core:notice] [pid 23256] AH00094: Command line: '/usr/sbin/apache2'
[Tue Sep 03 11:57:43.490076 2019] [mpm_prefork:notice] [pid 23256] AH00169: caught SIGTERM, shutting down
[Tue Sep 03 11:57:43.718316 2019] [mpm_prefork:notice] [pid 23960] AH00163: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Tue Sep 03 11:57:43.718386 2019] [core:notice] [pid 23960] AH00094: Command line: '/usr/sbin/apache2'
[Tue Sep 03 12:00:56.701417 2019] [php7:error] [pid 23963] [client ::1:44262] script '/var/www/html/phpinfo.php' not found or unable to stat
[Tue Sep 03 12:03:30.265120 2019] [php7:error] [pid 23964] [client ::1:44270] script '/var/www/html/phpinfo.php' not found or unable to stat
[Tue Sep 03 12:10:21.614956 2019] [php7:error] [pid 24050] [client ::1:44302] script '/var/www/html/phpinfo.php' not found or unable to stat
[Tue Sep 03 13:10:58.664279 2019] [mpm_prefork:notice] [pid 23960] AH00169: caught SIGTERM, shutting down
[Tue Sep 03 13:12:17.199078 2019] [mpm_prefork:notice] [pid 1023] AH00163: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Tue Sep 03 13:12:17.230697 2019] [core:notice] [pid 1023] AH00094: Command line: '/usr/sbin/apache2'
[Tue Sep 03 17:26:36.722121 2019] [mpm_prefork:notice] [pid 1023] AH00169: caught SIGTERM, shutting down
[Tue Sep 03 22:10:29.160706 2019] [mpm_prefork:notice] [pid 1047] AH00163: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Tue Sep 03 22:10:29.212905 2019] [core:notice] [pid 1047] AH00094: Command line: '/usr/sbin/apache2'
[Tue Sep 03 23:35:53.755542 2019] [mpm_prefork:notice] [pid 1047] AH00169: caught SIGTERM, shutting down
[Wed Sep 04 06:13:07.945579 2019] [mpm_prefork:notice] [pid 1061] AH00163: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Wed Sep 04 06:13:07.984331 2019] [core:notice] [pid 1061] AH00094: Command line: '/usr/sbin/apache2'
[Wed Sep 04 06:31:18.565200 2019] [mpm_prefork:notice] [pid 1061] AH00169: caught SIGTERM, shutting down
[Wed Sep 04 06:32:33.004920 2019] [mpm_prefork:notice] [pid 1042] AH00163: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Wed Sep 04 06:32:33.024639 2019] [core:notice] [pid 1042] AH00094: Command line: '/usr/sbin/apache2'
[Wed Sep 04 07:12:59.930041 2019] [mpm_prefork:notice] [pid 1042] AH00169: caught SIGTERM, shutting down
[Wed Sep 04 10:06:54.961126 2019] [mpm_prefork:notice] [pid 1000] AH00163: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Wed Sep 04 10:06:55.005232 2019] [core:notice] [pid 1000] AH00094: Command line: '/usr/sbin/apache2'
[Wed Sep 04 11:34:26.640150 2019] [php7:notice] [pid 1062] [client ::1:39116] PHP Notice:  Undefined index: username in /var/www/html/loginWebsite/index_GET.php on line 32
[Wed Sep 04 11:34:26.640231 2019] [php7:notice] [pid 1062] [client ::1:39116] PHP Notice:  Undefined index: password in /var/www/html/loginWebsite/index_GET.php on line 33
[Wed Sep 04 11:35:17.631411 2019] [php7:notice] [pid 1061] [client ::1:39120] PHP Notice:  Undefined index: username in /var/www/html/loginWebsite/index_GET.php on line 32
[Wed Sep 04 11:35:17.631455 2019] [php7:notice] [pid 1061] [client ::1:39120] PHP Notice:  Undefined index: password in /var/www/html/loginWebsite/index_GET.php on line 33
[Wed Sep 04 11:35:18.342725 2019] [php7:notice] [pid 1061] [client ::1:39120] PHP Notice:  Undefined index: username in /var/www/html/loginWebsite/index_GET.php on line 32
[Wed Sep 04 11:35:18.342785 2019] [php7:notice] [pid 1061] [client ::1:39120] PHP Notice:  Undefined index: password in /var/www/html/loginWebsite/index_GET.php on line 33
[Wed Sep 04 11:35:18.455688 2019] [php7:notice] [pid 1061] [client ::1:39120] PHP Notice:  Undefined index: username in /var/www/html/loginWebsite/index_GET.php on line 32
[Wed Sep 04 11:35:18.455726 2019] [php7:notice] [pid 1061] [client ::1:39120] PHP Notice:  Undefined index: password in /var/www/html/loginWebsite/index_GET.php on line 33
[Wed Sep 04 11:48:14.354402 2019] [php7:notice] [pid 1059] [client ::1:40546] PHP Notice:  Undefined index: username in /var/www/html/loginWebsite/index_GET.php on line 32
[Wed Sep 04 11:48:14.354446 2019] [php7:notice] [pid 1059] [client ::1:40546] PHP Notice:  Undefined index: password in /var/www/html/loginWebsite/index_GET.php on line 33
[Wed Sep 04 13:36:09.840021 2019] [mpm_prefork:notice] [pid 1000] AH00169: caught SIGTERM, shutting down
[Wed Sep 04 13:37:28.571426 2019] [mpm_prefork:notice] [pid 1250] AH00163: Apache/2.4.38 (Ubuntu) configured -- resuming normal operations
[Wed Sep 04 13:37:28.598593 2019] [core:notice] [pid 1250] AH00094: Command line: '/usr/sbin/apache2'
[Wed Sep 04 16:28:51.008638 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:51.017996 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:51.030925 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:51.030956 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:52.689448 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:52.689471 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:52.689477 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:52.689483 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.733960 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.734019 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.734043 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.734063 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.859476 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.859497 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
[Wed Sep 04 16:28:53.859506 2019] [php7:warn] [pid 3843] [client ::1:41630] PHP Warning:  A non-numeric value encountered in /var/www/html/futureValueCalculator/index.php on line 25, referer: http://localhost/futureValueCalculator/
